City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,kasongo,-4.45,26.6667,24.22,84,46,2.05,CD,1708359049
112,nadi,-17.8,177.4167,26.0,94,75,2.57,FJ,1708359049
113,tyre,33.2733,35.1939,14.51,67,0,3.12,LB,1708359049
114,palikir - national government center,6.9248,158.1611,27.0,78,54,10.18,FM,1708359049
115,happy valley-goose bay,53.3168,-60.3315,-15.52,81,100,5.91,CA,1708359049
116,wailua homesteads,22.0669,-159.378,21.44,55,100,8.75,US,1708359049
117,rock hill,34.9249,-81.0251,11.66,33,0,0.0,US,1708358808
118,talnakh,69.4865,88.3972,-18.22,97,100,8.74,RU,1708359050
119,puerto ayora,-0.7393,-90.3518,28.98,98,98,0.45,EC,1708359050
120,lebu,-37.6167,-73.65,18.93,60,0,3.71,CL,1708359050
121,stettler,52.3168,-112.7186,-9.08,91,6,1.98,CA,1708359050
122,bac lieu,9.285,105.7244,25.74,82,58,4.36,VN,1708359050
123,fale old settlement,-9.3852,-171.2468,28.33,79,90,4.79,TK,1708359050
124,saida,34.8303,0.1517,16.02,48,23,3.99,DZ,1708359050
125,yuanping,38.7153,112.7575,-2.0,43,100,3.49,CN,1708359051
126,kamina,-8.7386,24.9906,22.46,92,100,1.41,CD,1708359052
127,petropavlovsk-kamchatsky,53.0452,158.6483,-10.68,75,99,4.92,RU,1708359052
128,tahe,52.3333,124.7333,-26.92,78,17,2.79,CN,1708359052
129,saint-philippe,-21.3585,55.7679,26.77,76,53,6.3,RE,1708359053
130,ancud,-41.8697,-73.8203,18.87,70,0,3.48,CL,1708359053
131,pabbi,34.0106,71.7989,10.38,83,16,1.34,PK,1708358888
132,nadym,65.5333,72.5167,-10.44,90,100,10.77,RU,1708359053
133,amga,60.8953,131.9608,-33.96,100,100,0.94,RU,1708359053
134,turpan,42.9333,89.1667,-4.99,24,100,1.79,CN,1708359053
135,rodekro,55.0702,9.3164,7.75,95,75,6.69,DK,1708359053
136,georgetown,5.4112,100.3354,28.96,79,20,0.51,MY,1708359054
137,palmer,42.1584,-72.3287,0.65,29,0,4.63,US,1708359054
138,invercargill,-46.4,168.35,8.9,73,97,7.15,NZ,1708359054
139,oktyabr'sk,53.1672,48.7006,-7.13,96,100,3.07,RU,1708359054
140,mburucuya,-28.0454,-58.2245,32.36,38,42,5.94,AR,1708359054
141,san jose del cabo,23.0589,-109.6977,25.43,32,0,2.57,MX,1708359054
142,horta,38.5333,-28.6333,17.8,90,40,3.13,PT,1708359054
143,el fasher,13.6279,25.3494,27.99,7,9,5.92,SD,1708359054
144,enewetak,11.3474,162.3373,25.91,70,64,8.02,MH,1708359054
145,markovo,57.3206,107.0881,-30.06,99,82,2.14,RU,1708359055
146,acajutla,13.5928,-89.8275,31.01,45,1,2.16,SV,1708359055
147,lompoc,34.6391,-120.4579,14.73,88,100,3.6,US,1708359055
148,adrar,20.5022,-10.0711,27.01,13,0,9.04,MR,1708359055
149,huanggang,23.677,116.9996,18.61,96,26,0.55,CN,1708359055
150,belozersk,60.0326,37.7957,-8.9,93,17,3.13,RU,1708359055
151,arar,30.9753,41.0381,17.01,36,40,2.57,SA,1708359055
152,yarmouth,41.7057,-70.2286,4.25,49,0,7.15,US,1708359055
153,sultanah,24.4926,39.5857,26.25,8,0,3.6,SA,1708359055
154,udachny,66.4167,112.4,-22.53,83,98,2.21,RU,1708359016
155,albany,42.6001,-73.9662,-1.7,35,3,2.68,US,1708358950
156,nemuro,43.3236,145.575,3.4,99,100,9.56,JP,1708359056
157,kapa'a,22.0752,-159.319,22.18,55,100,8.75,US,1708359056
158,smithers,54.7804,-127.1743,-3.5,95,87,0.36,CA,1708359056
159,vilyuysk,63.7553,121.6247,-27.22,100,100,0.89,RU,1708359056
160,port saint john's,-31.6229,29.5448,23.74,78,94,5.23,ZA,1708359056
161,magdagachi,53.45,125.8,-27.4,79,26,3.96,RU,1708359056
162,gagliano del capo,39.8442,18.3695,13.78,66,21,1.03,IT,1708359056
163,koknese,56.65,25.4333,-0.52,64,100,4.26,LV,1708359056
164,anadyr,64.75,177.4833,-12.72,78,75,17.0,RU,1708359057
165,torre-pacheco,37.7429,-0.954,21.29,68,0,2.06,ES,1708359057
166,mananjary,-21.2167,48.3333,24.29,82,100,3.57,MG,1708359057
167,ciudad manuel doblado,20.7333,-101.9333,17.31,33,0,1.4,MX,1708359057
168,tamanrasset,22.785,5.5228,21.95,11,40,6.17,DZ,1708359057
169,constantia,44.1833,28.65,4.38,66,27,3.41,RO,1708359057
170,mbalmayo,3.5167,11.5,33.06,35,87,1.28,CM,1708359057
171,wotho,10.1657,166.0102,25.98,84,84,8.2,MH,1708359057
172,kyren,51.6828,102.1408,-26.14,94,31,0.45,RU,1708359058
173,lerwick,60.1545,-1.1494,8.0,86,11,7.72,GB,1708359058
174,taroa,8.7058,171.2275,27.88,77,87,8.55,MH,1708359063
175,st. john's,47.5649,-52.7093,-1.23,88,100,4.12,CA,1708358994
176,molnlycke,57.6589,12.1179,2.62,90,75,1.54,SE,1708359063
177,margaret river,-33.95,115.0667,26.46,38,100,5.79,AU,1708359063
178,iskateley,67.6803,53.1512,-9.47,92,100,7.81,RU,1708359063
179,bel ombre,-4.6167,55.4167,28.81,76,55,5.69,SC,1708359063
180,matsuyama,33.8392,132.7657,15.11,95,95,2.45,JP,1708359064
181,canguaretama,-6.38,-35.1289,31.93,57,58,5.4,BR,1708359065
182,tromso,69.6496,18.957,1.01,86,75,9.77,NO,1708359066
183,temiskaming shores,47.4938,-79.7153,-14.28,70,45,2.57,CA,1708359066
184,el nido,11.1858,119.3956,26.59,76,17,6.09,PH,1708359066
185,liaozhong,41.5061,122.7242,-11.05,43,64,6.33,CN,1708359066
186,howard springs,-12.497,131.047,28.95,95,53,3.12,AU,1708359066
187,nyurba,63.2842,118.3319,-22.33,97,100,3.22,RU,1708359066
188,torrejon de la calzada,40.2036,-3.7961,19.77,53,0,1.54,ES,1708359067
189,minas de marcona,-15.2119,-75.1103,24.25,63,99,2.89,PE,1708359067
190,lodja,-3.4833,23.4333,28.92,62,46,1.55,CD,1708359067
191,twentynine palms,34.1356,-116.0542,15.48,54,3,2.68,US,1708358923
192,klaksvik,62.2266,-6.589,7.51,83,37,7.56,FO,1708359082
193,mount isa,-20.7333,139.5,24.87,94,99,0.0,AU,1708359082
194,kone,-21.0595,164.8658,23.04,89,85,1.22,NC,1708359082
195,bomdila,27.25,92.4,4.96,84,78,1.53,IN,1708359084
196,bethlehem,-1.4558,-48.5044,30.02,74,75,5.66,BR,1708359086
197,nouadhibou,20.931,-17.0347,30.99,27,53,5.66,MR,1708359087
198,oran,35.6911,-0.6417,17.84,68,40,6.17,DZ,1708359087
199,carnarvon,-24.8667,113.6333,26.35,72,48,6.54,AU,1708359087
200,mandla,22.6,80.3833,26.14,27,92,0.85,IN,1708359087
201,afaahiti,-17.75,-149.2833,24.93,79,100,1.09,PF,1708359087
202,urkarakh,42.163,47.6307,-1.28,90,87,1.11,RU,1708359088
203,college,64.8569,-147.8028,-12.18,75,75,0.0,US,1708359088
204,dalbandin,28.8947,64.4101,14.61,24,0,3.2,PK,1708359088
205,tobelo,1.7284,128.0095,26.06,86,98,0.67,ID,1708359089
206,maragogi,-9.0122,-35.2225,30.81,63,11,4.85,BR,1708359089
207,kidal,18.4411,1.4078,29.16,11,0,5.3,ML,1708359089
208,maych'ew,12.7875,39.5422,16.01,85,74,4.15,ET,1708359090
209,ad douiem,14.0012,32.3116,28.9,10,28,6.24,SD,1708359090
210,canoinhas,-26.1772,-50.39,30.18,41,38,0.85,BR,1708359091
211,bereket,39.2446,55.5154,2.26,36,25,3.33,TM,1708359069
212,spalding,33.2668,-84.2833,11.93,29,0,3.6,US,1708359091
213,roslavl',53.9528,32.8639,-10.38,95,97,1.63,RU,1708359092
